     Data            Open                 High                 Low               Close*            Adj Close**            Volume       
Apr 09, 2021        3,304.70            3,372.20            3,288.90            3,372.20            3,372.20            4,334,600           
Apr 08, 2021        3,310.90            3,324.50            3,292.00            3,299.30            3,299.30            2,812,100           
Apr 07, 2021        3,233.80            3,303.61            3,223.65            3,279.39            3,279.39            3,346,200           
Apr 06, 2021        3,223.75            3,247.31            3,217.04            3,223.82            3,223.82            2,537,800           
Apr 05, 2021        3,173.00            3,235.96            3,161.24            3,226.73            3,226.73            3,334,900           
Apr 01, 2021        3,117.94            3,162.44            3,115.55            3,161.00            3,161.00            2,940,300           
Mar 31, 2021        3,064.06            3,119.33            3,062.50            3,094.08            3,094.08            3,093,900           
Mar 30, 2021        3,070.01            3,073.00            3,034.00            3,055.29            3,055.29            2,337,600           
Mar 29, 2021        3,055.44            3,091.25            3,028.45            3,075.73            3,075.73            2,746,000           
Mar 26, 2021        3,044.06            3,056.66            2,996.00            3,052.03            3,052.03            3,312,900           
Mar 25, 2021        3,072.99            3,109.78            3,037.14            3,046.26            3,046.26            3,563,500           
Mar 24, 2021        3,151.04            3,160.31            3,085.15            3,087.07            3,087.07            2,959,000           
Mar 23, 2021        3,127.00            3,182.00            3,120.85            3,137.50            3,137.50            3,817,300           
Mar 22, 2021        3,067.85            3,126.58            3,060.05            3,110.87            3,110.87            2,902,200           
Mar 19, 2021        3,029.23            3,077.29            3,016.63            3,074.96            3,074.96            4,625,400           
Mar 18, 2021        3,101.00            3,116.63            3,025.00            3,027.99            3,027.99            3,657,000           
Mar 17, 2021        3,073.22            3,173.05            3,070.22            3,135.73            3,135.73            3,118,600           
Mar 16, 2021        3,104.97            3,128.91            3,075.86            3,091.86            3,091.86            2,538,800           
Mar 15, 2021        3,074.57            3,082.24            3,032.09            3,081.68            3,081.68            2,913,600           
Mar 12, 2021        3,075.00            3,098.98            3,045.50            3,089.49            3,089.49            2,421,900           
Mar 11, 2021        3,104.01            3,131.78            3,082.93            3,113.59            3,113.59            2,776,400           
Mar 10, 2021        3,098.45            3,116.46            3,030.05            3,057.64            3,057.64            3,012,500           
Mar 09, 2021        3,017.99            3,090.96            3,005.15            3,062.85            3,062.85            4,030,000           
Mar 08, 2021        3,015.00            3,064.59            2,951.31            2,951.95            2,951.95            4,185,000           
Mar 05, 2021        3,005.00            3,009.00            2,881.00            3,000.46            3,000.46            5,388,600           
Mar 04, 2021        3,012.00            3,058.13            2,945.43            2,977.57            2,977.57            5,481,600           
Mar 03, 2021        3,081.18            3,107.78            2,995.00            3,005.00            3,005.00            3,988,700           
Mar 02, 2021        3,143.47            3,163.52            3,087.12            3,094.53            3,094.53            2,595,800           
Mar 01, 2021        3,127.89            3,149.56            3,097.99            3,146.14            3,146.14            2,729,100           
Feb 26, 2021        3,095.20            3,122.44            3,036.70            3,092.93            3,092.93            4,275,900           
Feb 25, 2021        3,136.74            3,178.26            3,047.76            3,057.16            3,057.16            4,533,800           
Feb 24, 2021        3,166.75            3,171.23            3,125.38            3,159.53            3,159.53            3,011,300           
Feb 23, 2021        3,127.03            3,204.73            3,093.60            3,194.50            3,194.50            4,677,200           
Feb 22, 2021        3,208.13            3,232.32            3,172.26            3,180.74            3,180.74            3,515,700           
Feb 19, 2021        3,328.23            3,333.50            3,245.75            3,249.90            3,249.90            4,305,200           
Feb 18, 2021        3,282.42            3,338.00            3,273.94            3,328.23            3,328.23            3,027,400           
Feb 17, 2021        3,263.60            3,320.91            3,259.50            3,308.64            3,308.64            3,297,500           
Feb 16, 2021        3,254.05            3,308.30            3,253.59            3,268.95            3,268.95            2,574,700           
Feb 12, 2021        3,250.00            3,280.25            3,233.31            3,277.71            3,277.71            2,335,300           
Feb 11, 2021        3,292.00            3,292.00            3,248.06            3,262.13            3,262.13            2,301,400           
Feb 10, 2021        3,314.00            3,317.95            3,254.00            3,286.58            3,286.58            3,151,600           
Feb 09, 2021        3,312.49            3,338.00            3,297.84            3,305.00            3,305.00            2,203,500           
Feb 08, 2021        3,358.50            3,365.00            3,304.00            3,322.94            3,322.94            3,257,400           
Feb 05, 2021        3,319.00            3,377.00            3,302.71            3,352.15            3,352.15            3,620,800           
Feb 04, 2021        3,330.00            3,347.00            3,277.75            3,331.00            3,331.00            3,670,700           
Feb 03, 2021        3,425.01            3,434.00            3,308.62            3,312.53            3,312.53            7,088,800           
Feb 02, 2021        3,380.00            3,427.74            3,361.13            3,380.00            3,380.00            7,098,600           
Feb 01, 2021        3,242.36            3,350.26            3,235.03            3,342.88            3,342.88            4,160,200           
Jan 29, 2021        3,230.00            3,236.99            3,184.55            3,206.20            3,206.20            4,293,600           
Jan 28, 2021        3,235.04            3,301.68            3,228.69            3,237.62            3,237.62            3,149,200           
Jan 27, 2021        3,341.49            3,346.52            3,207.08            3,232.58            3,232.58            4,660,200           
Jan 26, 2021        3,296.36            3,338.00            3,282.87            3,326.13            3,326.13            2,955,200           
Jan 25, 2021        3,328.50            3,363.89            3,243.15            3,294.00            3,294.00            3,749,800           
Jan 22, 2021        3,304.31            3,321.91            3,283.16            3,292.23            3,292.23            2,821,900           
Jan 21, 2021        3,293.00            3,348.55            3,289.57            3,306.99            3,306.99            4,945,100           
Jan 20, 2021        3,181.99            3,279.80            3,175.00            3,263.38            3,263.38            5,309,800           
Jan 19, 2021        3,107.00            3,145.00            3,096.00            3,120.76            3,120.76            3,305,100           
Jan 15, 2021        3,123.02            3,142.55            3,095.17            3,104.25            3,104.25            4,244,000           
Jan 14, 2021        3,167.52            3,178.00            3,120.59            3,127.47            3,127.47            3,070,900           
Jan 13, 2021        3,128.44            3,189.95            3,122.08            3,165.89            3,165.89            3,321,200           
Jan 12, 2021        3,120.00            3,142.14            3,086.00            3,120.83            3,120.83            3,514,600           
Jan 11, 2021        3,148.01            3,156.38            3,110.00            3,114.21            3,114.21            3,683,400           
Jan 08, 2021        3,180.00            3,190.64            3,142.20            3,182.70            3,182.70            3,537,700           
Jan 07, 2021        3,157.00            3,208.54            3,155.00            3,162.16            3,162.16            3,514,500           
Jan 06, 2021        3,146.48            3,197.51            3,131.16            3,138.38            3,138.38            4,394,800           
Jan 05, 2021        3,166.01            3,223.38            3,165.06            3,218.51            3,218.51            2,655,500           
Jan 04, 2021        3,270.00            3,272.00            3,144.02            3,186.63            3,186.63            4,411,400           
Dec 31, 2020        3,275.00            3,282.92            3,241.20            3,256.93            3,256.93            2,954,100           
Dec 30, 2020        3,341.00            3,342.10            3,282.47            3,285.85            3,285.85            3,209,300           
Dec 29, 2020        3,309.94            3,350.65            3,281.22            3,322.00            3,322.00            4,872,900           
Dec 28, 2020        3,194.00            3,304.00            3,172.69            3,283.96            3,283.96            5,686,800           
Dec 24, 2020        3,193.90            3,202.00            3,169.00            3,172.69            3,172.69            1,451,900           
Dec 23, 2020        3,205.00            3,210.13            3,184.17            3,185.27            3,185.27            2,093,800           
Dec 22, 2020        3,202.84            3,222.00            3,180.08            3,206.52            3,206.52            2,369,400           
Dec 21, 2020        3,200.01            3,226.97            3,166.00            3,206.18            3,206.18            3,836,800           
Dec 18, 2020        3,243.99            3,249.42            3,171.60            3,201.65            3,201.65            5,995,700           
Dec 17, 2020        3,250.00            3,263.51            3,221.00            3,236.08            3,236.08            3,474,300           
Dec 16, 2020        3,176.01            3,247.00            3,163.68            3,240.96            3,240.96            4,427,600           
Dec 15, 2020        3,181.01            3,188.50            3,130.49            3,165.12            3,165.12            3,323,700           
Dec 14, 2020        3,143.00            3,190.47            3,126.00            3,156.97            3,156.97            4,155,800           
Dec 11, 2020        3,096.66            3,118.67            3,072.82            3,116.42            3,116.42            3,064,700           
Dec 10, 2020        3,088.99            3,142.10            3,076.00            3,101.49            3,101.49            3,030,200           
Dec 09, 2020        3,167.89            3,174.43            3,088.00            3,104.20            3,104.20            4,100,800           
Dec 08, 2020        3,158.90            3,184.13            3,120.02            3,177.29            3,177.29            3,286,300           
Dec 07, 2020        3,156.48            3,180.76            3,141.69            3,158.00            3,158.00            2,751,300           
Dec 04, 2020        3,198.21            3,198.21            3,158.76            3,162.58            3,162.58            2,913,600           
Dec 03, 2020        3,205.46            3,228.64            3,181.31            3,186.73            3,186.73            2,892,000           
Dec 02, 2020        3,221.65            3,232.00            3,173.26            3,203.53            3,203.53            3,129,300           
Dec 01, 2020        3,188.50            3,248.95            3,157.18            3,220.08            3,220.08            4,544,400           
Nov 30, 2020        3,208.48            3,228.39            3,125.55            3,168.04            3,168.04            4,063,900           
